player,games_played,avg_pts,avg_min,avg_reb,avg_ast,avg_fg_pct,avg_ft_pct,max_pts,avg_stl,avg_blk
Luka Dončić,64,33.5,35.8,7.7,8.3,0.471,0.77,60.0,1.6,0.5
Shai Gilgeous-Alexander,68,31.1,33.2,4.3,6.6,0.572,0.881,55.0,1.4,0.8
Anthony Edwards,60,29.2,35.6,5.0,3.8,0.486,0.764,55.0,1.4,0.8
Jaylen Brown,71,28.7,34.4,6.9,5.1,0.482,0.744,50.0,1.0,0.4
Tyrese Maxey,70,28.3,38.0,4.1,6.6,0.461,0.864,54.0,1.9,0.8
Giannis Antetokounmpo,35,28.3,29.6,10.0,5.6,0.632,0.627,41.0,1.0,0.7
Kawhi Leonard,65,27.9,32.1,6.4,3.6,0.506,0.858,55.0,1.9,0.4
Donovan Mitchell,70,27.9,33.5,4.5,5.7,0.477,0.816,48.0,1.5,0.3
Nikola Jokić,65,27.7,34.8,12.9,10.7,0.592,0.759,56.0,1.4,0.8
Joel Embiid,38,26.9,31.6,7.7,3.9,0.491,0.869,40.0,0.6,1.2
Lauri Markkanen,42,26.7,34.3,6.9,2.1,0.475,0.865,51.0,1.0,0.5
Stephen Curry,43,26.6,30.9,3.6,4.7,0.453,0.904,49.0,1.1,0.4
Devin Booker,62,26.6,34.3,4.0,6.2,0.456,0.858,43.0,0.8,0.3
Jalen Brunson,73,26.3,35.4,3.4,6.9,0.465,0.822,47.0,0.8,0.1
Kevin Durant,78,26.0,36.4,5.5,4.8,0.527,0.85,40.0,0.8,0.9
Jamal Murray,74,25.7,35.7,4.5,7.2,0.478,0.852,53.0,0.9,0.4
Victor Wembanyama,64,25.0,29.2,11.5,3.1,0.515,0.791,41.0,1.0,3.1
Deni Avdija,65,24.6,33.8,7.0,6.8,0.461,0.778,41.0,0.8,0.6
Michael Porter Jr.,52,24.2,32.5,7.1,3.0,0.458,0.816,38.0,1.1,0.3
Cade Cunningham,63,24.2,34.4,5.6,10.1,0.47,0.765,46.0,1.4,0.9
Pascal Siakam,62,24.0,33.2,6.6,3.8,0.483,0.708,37.0,1.1,0.4
Keyonte George,54,23.6,33.1,3.7,6.1,0.447,0.868,43.0,1.1,0.3
James Harden,70,23.6,34.8,4.8,8.0,0.442,0.835,55.0,1.1,0.4
Austin Reaves,51,23.3,34.5,4.7,5.5,0.487,0.849,51.0,1.1,0.4
Jalen Johnson,71,22.8,35.6,10.4,8.0,0.49,0.768,43.0,1.2,0.4
Paolo Banchero,72,22.2,34.7,8.4,5.2,0.453,0.78,39.0,0.7,0.6
Jayson Tatum,16,21.8,32.6,10.0,5.3,0.412,0.723,32.0,1.4,0.2
Norman Powell,58,21.7,29.6,3.5,2.5,0.466,0.798,38.0,1.1,0.2
Trey Murphy III,66,21.5,35.5,5.7,3.8,0.467,0.72,44.0,1.5,0.4
Brandon Ingram,77,21.5,33.8,5.6,3.7,0.481,0.739,38.0,0.8,0.7
Anthony Davis,19,21.2,32.6,11.4,2.9,0.493,0.618,35.0,1.1,1.7
Cooper Flagg,69,21.2,33.8,6.7,4.6,0.46,0.764,51.0,1.2,0.9
Julius Randle,79,21.1,33.0,6.7,5.0,0.473,0.784,41.0,1.1,0.2
Zion Williamson,62,21.0,29.7,5.7,3.2,0.6,0.706,35.0,1.0,0.5
Franz Wagner,33,21.0,30.7,5.3,3.4,0.477,0.822,37.0,0.9,0.3
LeBron James,60,20.9,33.2,6.1,7.2,0.514,0.722,36.0,1.2,0.6
Nickeil Alexander-Walker,78,20.8,33.4,3.4,3.7,0.453,0.795,41.0,1.3,0.5
Shaedon Sharpe,50,20.8,29.4,4.3,2.6,0.443,0.68,36.0,1.4,0.1
Alperen Sengun,71,20.6,33.8,9.0,6.3,0.532,0.65,39.0,1.2,1.1
Tyler Herro,33,20.5,31.3,4.8,4.1,0.48,0.756,33.0,0.7,0.4
Dillon Brooks,55,20.5,30.8,3.6,1.8,0.436,0.703,40.0,1.0,0.2
Brandon Miller,64,20.4,30.6,5.0,3.4,0.443,0.702,33.0,1.0,0.7
Bam Adebayo,72,20.4,32.7,10.2,3.2,0.442,0.724,83.0,1.2,0.7
Ja Morant,19,20.1,29.6,3.4,8.4,0.401,0.911,40.0,1.1,0.3
Desmond Bane,82,20.1,33.6,4.1,4.1,0.477,0.781,37.0,1.0,0.5
Karl-Anthony Towns,75,20.1,31.0,11.9,3.0,0.501,0.827,40.0,0.9,0.5
LaMelo Ball,72,20.1,28.0,4.8,7.1,0.408,0.672,38.0,1.2,0.3
Jimmy Butler III,38,20.0,31.1,5.6,4.9,0.524,0.814,33.0,1.4,0.2
Ty Jerome,15,19.7,22.6,2.8,5.7,0.475,0.764,28.0,1.1,0.3
Jalen Duren,70,19.5,28.2,10.5,2.0,0.653,0.676,36.0,0.8,0.8
Jaren Jackson Jr.,48,19.4,30.3,5.7,2.0,0.478,0.718,31.0,1.1,1.4
Jalen Green,29,19.4,28.1,3.9,3.1,0.417,0.571,36.0,1.2,0.3
RJ Barrett,57,19.3,30.3,5.3,3.3,0.492,0.683,31.0,0.7,0.3
Zach LaVine,39,19.2,31.4,2.8,2.3,0.468,0.725,42.0,0.7,0.3
Jerami Grant,56,18.9,30.1,3.5,2.2,0.455,0.713,35.0,0.8,0.6
Trae Young,14,18.8,26.9,2.1,8.5,0.476,0.822,35.0,0.9,0.1
Darius Garland,45,18.8,29.9,2.4,6.7,0.459,0.71,41.0,1.0,0.2
CJ McCollum,76,18.7,29.8,3.3,3.9,0.447,0.594,46.0,0.8,0.5
De'Aaron Fox,72,18.6,31.0,3.8,6.2,0.488,0.586,37.0,1.2,0.3
Kon Knueppel,81,18.5,31.5,5.3,3.4,0.475,0.699,34.0,0.7,0.2
DeMar DeRozan,77,18.4,31.2,2.9,4.1,0.486,0.778,41.0,1.0,0.3
Amen Thompson,79,18.3,37.4,7.8,5.3,0.531,0.765,41.0,1.5,0.6
Evan Mobley,65,18.2,31.9,9.0,3.6,0.549,0.604,34.0,0.7,1.7
Scottie Barnes,80,18.1,33.5,7.5,5.9,0.51,0.668,33.0,1.4,1.5
Bennedict Mathurin,53,17.9,30.5,5.5,2.4,0.42,0.757,38.0,0.8,0.2
Coby White,49,17.7,25.4,3.5,4.0,0.44,0.766,27.0,0.5,0.1
Saddiq Bey,72,17.7,31.2,5.6,2.5,0.439,0.708,42.0,0.9,0.1
Kevin Porter Jr.,37,17.6,33.8,5.4,7.5,0.456,0.728,32.0,2.2,0.5
