team,abbreviation,games_played,avg_pts,avg_reb,avg_ast,avg_fg_pct,avg_plus_minus,wins,losses,win_pct,avg_pts_allowed
Oklahoma City Thunder,OKC,82,119.0,44.1,25.8,0.485,11.1,64,18,0.78,107.9
San Antonio Spurs,SAS,82,119.8,47.0,28.1,0.484,8.3,62,20,0.756,111.5
Detroit Pistons,DET,82,117.8,45.6,27.8,0.487,8.2,60,22,0.732,109.6
Boston Celtics,BOS,82,114.9,46.4,24.6,0.468,7.7,56,26,0.683,107.2
Denver Nuggets,DEN,82,122.1,44.0,29.0,0.497,5.1,54,28,0.659,116.9
New York Knicks,NYK,82,116.5,45.6,27.4,0.478,6.3,53,29,0.646,110.1
Los Angeles Lakers,LAL,82,116.3,41.0,25.9,0.503,1.8,53,29,0.646,114.6
Cleveland Cavaliers,CLE,82,119.5,44.4,28.3,0.483,4.1,52,30,0.634,115.4
Houston Rockets,HOU,82,115.2,48.1,25.4,0.481,5.2,52,30,0.634,110.0
Minnesota Timberwolves,MIN,82,118.0,44.1,26.1,0.482,3.4,49,33,0.598,114.6
Atlanta Hawks,ATL,82,118.5,43.5,30.1,0.475,2.4,46,36,0.561,116.0
Toronto Raptors,TOR,82,114.6,42.1,29.5,0.483,2.8,46,36,0.561,111.8
Phoenix Suns,PHX,82,112.6,43.1,24.6,0.456,1.5,45,37,0.549,111.1
Philadelphia 76ers,PHI,82,115.9,43.6,24.6,0.463,-0.2,45,37,0.549,116.1
Orlando Magic,ORL,82,115.7,43.4,26.5,0.465,0.6,45,37,0.549,115.1
Charlotte Hornets,CHA,82,116.0,46.1,26.3,0.461,4.8,44,38,0.537,111.2
Miami Heat,MIA,82,120.9,46.3,29.0,0.469,2.3,43,39,0.524,118.5
Portland Trail Blazers,POR,82,115.5,46.0,25.1,0.454,-0.3,42,40,0.512,115.8
Los Angeles Clippers,LAC,82,113.8,40.6,23.7,0.485,1.1,42,40,0.512,112.6
Golden State Warriors,GSW,82,114.6,42.3,28.9,0.462,-0.6,37,45,0.451,115.2
Milwaukee Bucks,MIL,82,110.6,40.7,25.8,0.477,-6.2,32,50,0.39,116.8
Chicago Bulls,CHI,82,116.3,45.0,28.5,0.469,-5.2,31,51,0.378,121.5
New Orleans Pelicans,NOP,82,115.5,43.9,25.1,0.466,-4.5,26,56,0.317,120.0
Dallas Mavericks,DAL,82,114.1,44.7,25.3,0.467,-5.5,26,56,0.317,119.6
Memphis Grizzlies,MEM,82,114.7,42.1,27.8,0.457,-6.0,25,57,0.305,120.7
Sacramento Kings,SAC,82,111.0,42.3,25.5,0.468,-10.0,22,60,0.268,121.0
Utah Jazz,UTA,82,117.6,43.8,29.6,0.468,-8.4,22,60,0.268,126.0
Brooklyn Nets,BKN,82,105.9,39.3,25.0,0.443,-10.0,20,62,0.244,115.9
Indiana Pacers,IND,82,112.4,41.9,27.7,0.459,-8.0,19,63,0.232,120.4
Washington Wizards,WAS,82,112.9,41.9,25.0,0.463,-12.0,17,65,0.207,124.9
